id,temperature,pressure,humidity,wind_speed,wind_direction,precipitation,snowing,cloudiness,target
TRAIN_00000,27.88160000000005,1013.6,46.8,2.4,232.4,0.0,False,0.0,1.18
TRAIN_00001,5.754000000000019,1026.6,76.6,3.6,172.0,0.0,False,8.8,8.581
TRAIN_00002,20.82200000000006,1016.2,64.8,2.2,206.0,0.06,False,23.0,3.978
TRAIN_00003,20.075800000000015,1017.4,72.6,0.8,215.4,0.0,False,0.0,8.301
TRAIN_00004,7.526000000000067,1023.2,82.8,1.2,158.0,0.0,False,15.0,1.692
TRAIN_00005,24.850000000000023,1011.2,64.6,2.2,126.0,0.0,False,0.0,1.971
TRAIN_00006,32.94200000000001,1016.8,35.8,3.8,166.0,0.0,False,16.0,7.179
TRAIN_00007,14.812000000000069,1006.8,73.0,4.0,172.0,0.12,False,60.0,9.11
TRAIN_00008,12.321000000000026,1025.8,66.6,1.0,170.4,0.0,False,2.8,12.238
TRAIN_00009,20.77060000000006,1004.4,67.0,1.4,215.2,0.0,False,11.2,7.333
TRAIN_00010,20.122000000000014,1019.0,83.2,0.8,243.8,0.0,False,23.0,2.249
TRAIN_00011,23.390000000000043,1022.2,44.0,3.2,96.2,0.0,False,27.0,3.356
TRAIN_00012,18.990800000000036,1017.0,70.0,1.0,233.2,0.18,False,45.6,4.604
TRAIN_00013,18.968000000000075,1021.0,70.8,1.4,176.0,0.06,False,32.6,4.304
TRAIN_00014,24.05000000000001,1012.6,51.4,3.4,156.0,0.0,False,23.0,4.899
TRAIN_00015,17.915999999999997,1021.4,86.6,2.2,112.0,0.06,False,53.0,7.163
TRAIN_00016,12.494000000000085,1008.6,85.0,2.2,118.0,0.06,False,56.0,7.419
TRAIN_00017,11.04600000000005,1019.2,85.6,2.8,188.4,0.0,False,56.0,12.802
TRAIN_00018,28.644000000000005,1020.0,59.2,3.2,164.0,0.18,False,38.0,6.408
TRAIN_00019,17.327999999999975,1016.8,77.6,1.4,167.8,0.6,False,0.0,2.596
TRAIN_00020,29.76400000000001,1014.6,46.8,3.6,218.0,0.0,False,19.0,5.98
TRAIN_00021,24.674000000000035,1015.8,64.8,0.8,12.0,0.0,False,15.0,3.666
TRAIN_00022,2.0740000000000123,1021.2,74.8,1.4,162.0,0.18,False,18.4,6.585
TRAIN_00023,15.205500000000029,1029.6,44.8,2.8,146.0,0.0,False,0.0,4.235
TRAIN_00024,14.784000000000049,1011.8,55.8,3.0,144.0,0.0,False,4.0,4.05
TRAIN_00025,14.54200000000003,1017.4,88.6,2.0,214.0,0.06,False,35.0,4.136
TRAIN_00026,7.481999999999971,1017.2,89.2,1.6,104.0,0.24,False,73.4,5.482
TRAIN_00027,15.265600000000006,1028.4,75.8,1.2,109.8,0.06,False,42.0,2.34
TRAIN_00028,28.728000000000065,1014.4,52.4,3.6,152.0,0.0,False,23.0,8.032
TRAIN_00029,21.08200000000005,1019.6,52.0,2.8,176.2,0.0,False,16.0,5.981
TRAIN_00030,14.168000000000063,1015.4,70.4,6.8,190.0,0.18,False,53.0,0.859
TRAIN_00031,24.700000000000045,1015.8,49.0,2.8,148.0,0.06,False,23.0,4.715
TRAIN_00032,27.994000000000028,1018.6,60.4,1.4,109.4,0.6,False,27.0,7.14
TRAIN_00033,13.064000000000078,1007.0,46.4,1.8,210.0,0.0,False,12.0,0.735
TRAIN_00034,23.220000000000027,1017.8,69.8,2.0,146.8,0.06,False,19.0,5.401
TRAIN_00035,22.59400000000005,1019.2,69.0,1.2,290.0,0.0,False,19.0,6.052
TRAIN_00036,24.177999999999997,1017.0,66.0,0.8,137.6,0.06,False,22.4,3.032
TRAIN_00037,13.634000000000015,1028.0,61.0,1.4,72.0,0.0,False,12.0,2.037
TRAIN_00038,26.73686250000003,1006.4,45.4,2.0,166.4,0.0,False,21.2,4.507
TRAIN_00039,25.30800000000005,1017.0,63.8,1.0,120.0,0.0,False,23.0,5.836
